Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins,,,,,,,,,,,,,,,,
3/1/2019 20:00,000052525000,2,60,1,Northbound Lane 1,1,North,421,8192,Checked,32738,16,0,0,0,0,0,0,0,19,108,199,73,20,1,0,1,0,
3/1/2019 20:00,000052525000,2,60,2,Northbound Lane 2,1,North,299,8192,Checked,32738,16,0,0,0,0,0,0,0,0,6,127,125,32,8,1,0,0,
3/1/2019 20:00,000052525000,2,60,3,Southbound Lane 1,2,South,261,8192,Checked,32738,16,0,0,0,0,0,0,5,12,66,117,54,5,1,1,0,0,
3/1/2019 20:00,000052525000,2,60,4,Southbound Lane 2,2,South,118,8192,Checked,32738,16,0,0,0,0,0,0,0,0,7,31,59,15,5,1,0,0,
3/1/2019 21:00,000052525000,2,60,1,Northbound Lane 1,1,North,405,8192,Checked,32738,16,0,0,0,1,0,0,1,18,110,180,78,16,0,1,0,0,
3/1/2019 21:00,000052525000,2,60,2,Northbound Lane 2,1,North,259,8192,Checked,32738,16,0,0,0,0,0,0,0,0,11,75,140,28,4,1,0,0,
3/1/2019 21:00,000052525000,2,60,3,Southbound Lane 1,2,South,243,8192,Checked,32738,16,0,0,0,0,0,1,0,17,72,100,42,8,3,0,0,0,
3/1/2019 21:00,000052525000,2,60,4,Southbound Lane 2,2,South,106,8192,Checked,32738,16,0,0,0,0,0,0,0,1,5,48,39,11,1,1,0,0,
3/1/2019 22:00,000052525000,2,60,1,Northbound Lane 1,1,North,330,8192,Checked,32738,16,0,0,0,4,5,4,6,29,69,149,49,15,0,0,0,0,
3/1/2019 22:00,000052525000,2,60,2,Northbound Lane 2,1,North,233,8192,Checked,32738,16,1,0,0,0,2,3,3,0,7,61,122,27,7,0,0,0,
3/1/2019 22:00,000052525000,2,60,3,Southbound Lane 1,2,South,176,8192,Checked,32738,16,0,0,0,0,0,0,1,19,45,70,32,8,1,0,0,0,
3/1/2019 22:00,000052525000,2,60,4,Southbound Lane 2,2,South,86,8192,Checked,32738,16,0,0,0,0,0,0,0,0,5,29,36,11,4,0,1,0,
3/1/2019 23:00,000052525000,2,60,1,Northbound Lane 1,1,North,234,8192,Checked,32738,16,0,0,0,0,0,0,7,16,50,108,46,6,1,0,0,0,
3/1/2019 23:00,000052525000,2,60,2,Northbound Lane 2,1,North,114,8192,Checked,32738,16,0,0,0,0,0,0,0,0,6,42,45,17,4,0,0,0,
3/1/2019 23:00,000052525000,2,60,3,Southbound Lane 1,2,South,97,8192,Checked,32738,16,0,0,0,0,0,1,1,4,27,41,22,0,1,0,0,0,
3/1/2019 23:00,000052525000,2,60,4,Southbound Lane 2,2,South,40,8192,Checked,32738,16,0,0,0,0,0,0,0,0,2,16,16,4,2,0,0,0,
3/2/2019 0:00,000052525000,2,60,1,Northbound Lane 1,1,North,179,8192,Checked,32738,16,1,0,0,0,0,1,10,15,52,77,22,1,0,0,0,0,
3/2/2019 0:00,000052525000,2,60,2,Northbound Lane 2,1,North,86,8192,Checked,32738,16,0,0,0,0,0,0,0,4,3,36,32,10,1,0,0,0,
